id,planet_type,discovery_date,mass,planet_radius,orbital_radius,orbital_period,eccentricity,detection_method
2992,Neptune-like,2011,12.75 Earths,0.272 x Jupiter,0.0949 AU,10.9 days,0.16,
2993,Neptune-like,2011,10.07 Earths,0.245 x Jupiter,0.3506 AU,77.6 days,0.0,
2994,Terrestrial,2011,3.08 Earths,0.865 x Earth,0.0639 AU,6.1 days,0.0,
2995,Super Earth,2011,14.3 Earths,1.003 x Earth,0.1396 AU,19.6 days,0.0,
2996,Neptune-like,2016,19.96 Earths,0.42 x Jupiter,0.2055 AU,34.9 days,0.15,
2997,Neptune-like,2014,8.96 Earths,0.262 x Jupiter,0.032 AU,2.5 days,0.0,
2998,Neptune-like,2014,12.8 Earths,0.323 x Jupiter,0.07 AU,8 days,0.0,
2999,Super Earth,2014,2.13 Earths,1.26 x Earth,0.048 AU,4.1 days,0.0,
3000,Super Earth,2014,18.3 Earths,1.29 x Earth,0.062 AU,6 days,0.0,
3001,Super Earth,2014,1.32 Earths,1.09 x Earth,0.133 AU,16.3 days,0.0,
3002,Neptune-like,2014,7.95 Earths,0.244 x Jupiter,0.207 AU,31.8 days,0.0,
3003,Super Earth,2014,3.26 Earths,1.62 x Earth,0.036 AU,2.5 days,0.0,
3004,Neptune-like,2014,6.08 Earths,0.209 x Jupiter,0.057 AU,4.8 days,0.0,
